title,genre,rating,voting,duration,storyline
Cabrini,biography,7.3,9.1K,2h 22m,"After witnessing disease and poverty in the slums of New York, Italian immigrant Francesca Cabrini embarks on a daring journey to persuade the hostile mayor to provide housing and healthcare for hundreds of orphaned children."
Caddo Lake,"sci-fi, mystery, thriller, drama",6.8,46K,1h 43m,"When an 8-year-old girl disappears on Caddo Lake, a series of past deaths and disappearances begin to link together, altering a broken family's history."
Calamity Jane,western,4.4,814,1h 35m,"After her husband-to-be Wild Bill Hickok is killed in an infamous poker game, Calamity Jane must break out of prison and find his murderers before the Deadwood's Sheriff can arrest him."
"Canadian, Sniper",war,3.4,368,1h 23m,"While attempting to peacefully reintegrate into civilian life, an army sniper struggles to discern reality from the haunting uncertainty of P.T.S.D."
Canary Black,action,5.4,12K,1h 41m,It follows Avery Graves as she is blackmailed by terrorists into betraying her own country to save her kidnapped husband.
Captain Miller,war,7.1,13K,2h 37m,A man leaves and turns against the British-led Indian military after witnessing atrocity.
Carol,musical,7.6,54,1h 55m,"Self-centered Solomon Lynch takes a journey through his past, present, and future. But it takes more than Christmas spirit to set things right in this story of hope, faith, and redemption."
Carry-On,"action, crime, thriller",6.5,173K,1h 59m,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
Casa Bonita Mi Amor!,documentary,7.6,1.5K,1h 28m,"Casa Bonita, a quirky Mexican restaurant in Colorado with cliff divers, faces closure. South Park (1997) creators Trey Parker and Matt Stone try saving this piece of childhood/Colorado history."
Chainsaws Were Singing,musical,7.2,389,1h 57m,Adventures await when new lovers are separated by a chainsaw killer.
Challengers,"romance, sport, comedy, drama",7.0,160K,2h 11m,"Tashi, a former tennis prodigy turned coach, transformed her husband into a champion. But to overcome a recent losing streak and redeem himself, he'll need to face off against his former best friend and Tashi's ex-boyfriend."
Chandu Champion,"history, war, biography, sport",7.8,35K,2h 22m,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.
Chappelle's Home Team: Donnell Rawlings - A New Day,reality-tv,5.7,241,,"Donnell Rawlings discusses relationships, travel, aging and parenting while wearing a blue suit, red socks and moisturized ankles."
Cheech & Chong's Last Movie,documentary,7.3,508,2h,"Exploring their 5-decade career performing stand-up, making records, and starring in hit films. It covers their lives, comedy partnership, and lasting influence on pop culture."
Chhava,war,8.4,2.3K,,"Set in the storied Apshinge Military Village in Maharashtra, 'Chhava' offers an intimate glimpse into the lives of families bound by centuries of military service, from the reign of Chhatrapati Shivaji Maharaj to today."
Civil War,"action, thriller",7.0,245K,1h 49m,"In a dystopian future, four journalists travel across the United States during a nation-wide conflict. While trying to survive, they aim to reach the White House to interview the president before he is overthrown."
Classified,mystery,3.7,2.9K,1h 45m,A career CIA hitman who's been solely using the classified section of various newspapers to receive his orders suddenly discovers that his division's actually been shut down for years.
Color of Victory,sport,6.1,40K,2h 37m,"The days when Istanbul was occupied as a result of the Armistice of Mudros after the First World War and the Fenerbahce football team won the ""Harington Cup"""
Conclave,"thriller, drama",7.4,207K,2h,"When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a web of conspiracies and intrigue that could shake the very foundation of the Catholic Church."
Conquer: Lahad Datu,war,6.6,552,2h,"The Malaysian security forces in quelling the militant group of the Sulu Sultanate aka ""Operation Daulat"" in Lahad Datu, Sabah."
Coyote Woman,western,2.1,78,1h 50m,For the first time on screen: Real-life scalp hunters JJ Glanton and Judge Holden from the novel Blood Meridian. Cynthia is a captive turned Comanche Woman. She lives with the last free band until they cross ways with savage scalp hunters.
Crakk: Jeetega... Toh Jiyegaa,sport,4.7,6.5K,2h 34m,The journey of a man from the slums of Mumbai to the world of underground extreme sports.
Crayon Shin-chan: Our Dinosaur Diary,"family, animation",6.6,620,1h 46m,"After a theme park that revives extinct dinosaurs is opened in Tokyo, Shinnosuke's pet dog, Shiro, crosses paths with a small dinosaur. The two befriend each other, but their friendship might affect the existence of the park."
Cuckoo,"horror, mystery",5.7,29K,1h 42m,A 17-year-old is forced to move with her family to a resort where things are not what they seem.
Culpa Tuya,romance,5.2,14K,1h 58m,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships."
Cup,"family, sport",8.6,86,2h 26m,"The story of a sixteen-year-old boy, a badminton player from a village named Vellathooval in Idukki, who dreams of the Olympics."
Damsel,"action, fantasy, adventure",6.1,112K,1h 50m,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
Dan Da Dan: First Encounter,"romance, fantasy, mystery, animation",8.2,3K,1h 23m,Momo Ayase is a school girl who meets her classmate Ken Takakura (named after the actor). Their unlikely friendship will face them against ghosts and aliens in a series of dark and funny adventures.
Daniela Forever,"romance, sci-fi",5.9,348,1h 53m,Follows a man as he joins a sleep trial that allows him to rebuild his life with his girlfriend who died in an accident through the use of lucid dreams.
Dans la cuisine des Nguyen,musical,6.9,96,1h 39m,"A Vietnamese-American aspiring actress pursues her musical theater dreams despite her mother's disapproval. Through cooking traditional meals together, mother and daughter find mutual understanding."
Dead Mail,"crime, horror",6.0,2.2K,1h 46m,"An ominous help note finds its way to a 1980s post office, connecting a dead letter investigator to a kidnapped keyboard technician."
Deadpool & Wolverine,"action, sci-fi, comedy, adventure",7.5,510K,2h 8m,"Deadpool is offered a place in the Marvel Cinematic Universe by the Time Variance Authority, but instead recruits a variant of Wolverine to save his universe from extinction."
Dear Santa,fantasy,5.4,19K,1h 47m,"When a young boy mails his Christmas wish list to Santa with one crucial spelling error, a devilish Jack Black arrives to wreak havoc on the holidays."
Death After Dusk,western,5.6,92,2h 20m,"In the town of Buck Creek in 1899, the residents live in fear from a murderer known as the Buck Creek Killer. The sheriff decides to assemble a team of nine bounty hunters to track down and eliminate the ruthless killer once and for all."
Decoded,war,5.7,470,2h 36m,"In the 1940s, the world was turbulent, and it was crucial to decipher enemy's communication codes timely and accurately. Rong Jinzhen showed a unique talent. He was noticed by more because he accidentally solved the difficult problem."
